full_name,html_url,stars,forks,created_at,pushed_at,license,pkgName,version,source,files.libIndex,files.libClient,files.cordisPatch,files.readme,files.readmeZh,eval.hasClientExport,eval.mainIsLib,eval.dshPlatform,metrics.active30,metrics.ageGate1,metrics.hasZhDocs,npm.published,npm.latest,topics,description
yjh051108/dsh-routing-suite,https://github.com/yjh051108/dsh-routing-suite,7167,149,2026-08-14T21:20:55Z,2026-09-04T13:51:03Z,MIT,'@dsh-external/dsh-super-injector,0.3.3,,,,,,,true,false,,true,true,true,false,,ai-agents|cordis|deepseek-harness|dsh|dsh-plugin,"dsh-routing-suite — injector + router-standard kit: install the runtime injector first, then the task-aware reasoning-mode router preset (measured P1-P23)."
zhu1090093659/dsh-web,https://github.com/zhu1090093659/dsh-web,7387,452,2026-08-12T05:15:20Z,2026-09-11T02:31:15Z,Apache-2.0,dsh-web,0.1.1,,,,,,,false,false,,true,true,true,false,,cordis|deepseek-harness|dsh|dsh-plugin|dsh-web|dsh-web-ui,"DeepSeek Harness (DSH) Web Plugin Aggregation Ecosystem · Everything is a plugin, distributed via the Creative Workshop"
liustack/modlens,https://github.com/liustack/modlens,3944,114,2026-02-22T07:12:00Z,2026-09-07T22:15:50Z,MIT,'@liustack/modlens,3.25.4,,,,,,,false,false,,true,true,true,false,,agent-skills|claude-code|claude-skills|codex|cordis|deepseek|dsh|dsh-plugin|glm|harness|harness-engineering|hermes-agent|image-to-text|multimodal|ocr|openclaw|pi-agent|text-only-llm|vision|vision-transformer,"The first vision plugin for DeepSeek Harness, and the vision bridge for every text-only coding agent. Paste an image, get structured JSON evidence (OCR, layout, semantics). | 全网最强 DeepSeek Harness 外挂视觉插件，为 DeepSeek、GLM 等纯文本模型外挂视觉能力，粘贴图片即得结构化 JSON 证据（OCR、版面、语义）。"
omdsh-dev/DSH-better-sidebar,https://github.com/omdsh-dev/DSH-better-sidebar,0,292,2026-08-07T16:04:00Z,,MIT,dsh-better-sidebar,0.18.0,,,,,,,true,true,,true,true,true,true,0.18.0,,"开放的侧边栏底座，支持三方拓展注册新侧边栏页面。内置文件渲染编辑/终端/侧边对话/Git/子代理页面 ｜ Open sidebar foundation, supports third-party extensions to register new sidebar pages. Built-in file rendering/editing, terminal, side chat, Git, and sub-agent pages."
dsh-market/dsh-market,https://github.com/dsh-market/dsh-market,3651,167,2026-08-14T04:58:15Z,2026-09-09T03:22:22Z,MIT,dshmarket,1.43.0,,,,,,,false,true,,true,true,true,true,1.43.0,deepseek-harness|dsh-plugin|marketplace,"The plugin market inside DeepSeek Harness — browse, search, one-click install · DSH 可视化插件市场"
ccch1mneyyy/dsh-TUI,https://github.com/ccch1mneyyy/dsh-TUI,0,156,2026-08-13T12:49:31Z,,MIT,'@deepseek-harness-tui/dsh-tui,0.10.0-beta.5,,,,,,,false,false,,true,true,true,false,,,"DSH 官方公众号收录的 TUI 补位插件：Claude Code 风，鲸鱼顶栏/实时状态/流式思考/双击 Esc 回滚/上下文进度+TPS。npm 一键装。  DSH official WeChat featured TUI plugin — Claude Code style: whale bar, live status, streaming thoughts, double-Esc rollback, context bar + TPS. npm one-click."
MeteorNOX/DeepSeek-Balance-Whale-Widget,https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget,2122,65,2026-08-18T03:13:51Z,2026-08-24T17:14:19Z,MIT,dsh-whale-widget,0.2.10,,,,,,,false,true,,true,true,true,true,0.2.10,cordis|deepseek|deepseek-harness|developer-tools|dsh|dsh-plugin|dsh-plugins|floating-widget|plugin,DeepSeek Harness（DSH）一只住在 DSH 界面右下角的小鲸鱼娘，帮你盯着DeepSeek账户余额。QQ弹弹，支持拖拽吸附、左吸附翻转、数字滚动动画，随界面自动启用，建议直接喊来你的dsh安装
NanmiCoder/dsh-agent-teams,https://github.com/NanmiCoder/dsh-agent-teams,0,120,2026-08-12T13:41:50Z,,MIT,'@nanmicoder/dsh-agent-teams,0.1.15,,,,,,,true,true,,true,true,true,false,,,AgentTeams plugin for DeepSeek Harness
bowenliang123/dsh-context,https://github.com/bowenliang123/dsh-context,1333,30,2026-08-14T08:23:28Z,2026-09-11T08:21:11Z,Apache-2.0,dsh-context,0.42.0,,,,,,,false,true,,true,true,true,true,0.42.0,cordis-plugin|deepseek-harness|deepseek-harness-plugin|dsh-external|dsh-plugin|dsh-plugins,"The best DeepSeek Harness plugin for context insight and management, with context dashboard / browser and context command, for context statistics, composition, breakdown, evolution details, understanding how the context is made of, and how it evolves. 一站式 DeepSeek Harness 上下文可视化插件，Context 面板及浏览器与 Context 命令，透视上下文组成、演进、压缩、剪枝等事件与动作。"
superdesigndev/treg,https://github.com/superdesigndev/treg,1352,117,2026-07-15T13:38:07Z,2026-09-11T08:24:52Z,NOASSERTION,treg-dsh,0.15.0,,,,,,,false,false,,true,true,false,false,,agents|api-keys|cli|credentials|developer-tools|dsh-plugin|mcp|proxy|python|registry|secrets,OpenRouter for agent tools. Join community here: https://discord.gg/6mQYYfFMAn
GanyuanRan/Aegis,https://github.com/GanyuanRan/Aegis,1179,51,2026-04-30T17:40:49Z,2026-09-10T05:44:14Z,MIT,aegis,2.9.6,,,,,,,false,false,,true,true,true,true,0.1.0,agent-skills|ai-agents|ai-coding|architecture-driven-development|awsome-coding-plugin|baseline-first|claude-code|codex|coding-agents|dive|dsh-plugin|evidence-driven|first-principles|opencode|software-architecture|spec-driven-development|spec-kit,"Make AI coding agents architecture-aware: baseline-first, evidence-verified, drift-checked, and safe across long tasks."
xmanrui/dsh-im,https://github.com/xmanrui/dsh-im,1263,122,2026-08-14T20:40:06Z,2026-09-10T17:21:13Z,MIT,'@xmanrui/dsh-im,4.11.0,topic:dsh-plugin,true,true,true,true,false,false,false,web,true,true,true,false,,ai-agents|chatbot|cordis|deepseek|deepseek-harness|dingtalk-bot|discord-bot|dsh|dsh-plugin|feishu-bot|im-bot|slack-bot|telegram-bot|wechat-bot|whatsapp-bot,通过扫码或机器人凭据把IM机器人接入DeepSeek Harness（支持飞书、微信、钉钉、企业微信、QQ、Slack、Telegram、Discord和WhatsApp）。 Connect IM bots to DeepSeek Harness via QR code or credentials (9 channels).
ysr666/dsh-vision-router,https://github.com/ysr666/dsh-vision-router,1095,44,2026-08-13T18:57:47Z,2026-09-11T07:20:01Z,MIT,dsh-vision-router,2.1.2,topic:dsh-plugin,false,true,true,true,false,false,false,web,true,true,false,true,2.1.2,deepseek-harness|dsh|dsh-plugin|multimodal|vision,"Eyes for text-only DeepSeek Harness agents: built-in free vision chain (no key) + pixel-level vision tools (Q&A, grounding, crop, pixel diff, colors, OCR, SVG trace, cutout, screenshots). One-command install, no Python, image turns work like ordinary tool-calling turns."
Minglink/dsh-infinite-gen-3,https://github.com/Minglink/dsh-infinite-gen-3,0,53,2026-08-15T15:47:15Z,,MIT,dsh-infinite-gen-3,0.5.0,topic:dsh-plugin,false,false,true,true,false,false,false,web,true,true,true,false,,,DeepSeek 专用破甲插件「无限三代」dsh-infinite-gen-3 — armor-breaking plugin for DeepSeek，破甲版：稳定化破甲，求 Star 收藏 ⭐
shaobeichen/dsh-pocket,https://github.com/shaobeichen/dsh-pocket,1067,49,2026-08-15T09:36:29Z,2026-09-10T15:04:03Z,GPL-2.0,dsh-pocket,2.10.3,topic:dsh-plugin,true,false,true,true,false,false,true,web,true,true,true,true,2.10.3,deepseek|deepseek-harness|deepseek-harness-plugin|dsh|dsh-plugin|dsh-plugin-market|dsh-plugins|mobile|qr|remote|tunnel,"把 DeepSeek Harness 装进你的口袋：电脑上跑 dsh web，手机扫码即同步访问（局域网 + 公网，实时同屏）Put DeepSeek Harness in your pocket: run dsh web on your computer and access it synchronously by scanning a QR code on your phone (LAN + public network, real‑time screen mirroring)"
Anionex/dsh-vision-toolkit,https://github.com/Anionex/dsh-vision-toolkit,0,42,2026-08-13T12:36:34Z,,MIT,'@anionex/dsh-vision-toolkit,0.1.42,topic:dsh-plugin,true,true,true,true,false,true,true,web,true,true,false,false,,,"[dsh]为纯文本模型设计更强大的视觉工具箱：一行安装使用、粘贴图片直接识别、多张图片问答、截图到前端UI 还原等｜DeepSeek Harness-native integration for agent-vision-toolkit: image Q&A, long-screenshot OCR, UI restoration, grounding, pixel diff, Artifacts, and Web UI."
toby-bridges/api-relay-audit,https://github.com/toby-bridges/api-relay-audit,828,78,2026-03-30T04:20:54Z,2026-08-29T08:09:37Z,AGPL-3.0,dsh-api-relay-audit,2.4.0,topic:dsh-plugin,false,false,false,true,false,false,false,,true,true,false,false,,ai-agents|ai-audit|ai-security|anthropic|api-gateway|claude|dsh-plugin|llm-audit|llm-proxy|llm-security|model-substitution|openai-api|prompt-injection|python|security-audit|security-scanner|supply-chain-security|tool-call-rewriting|web3-security|web3-wallet,"Local security audit for AI API relays and LLM proxies: detects prompt injection, model substitution, tool-call rewriting, SSE anomalies, error leakage, and Web3 wallet risks."
